datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-09-05 17:00:00,3,1,0,2,27.06,29.545,89,7.0015,37,77,114
2011-05-17 11:00:00,2,0,1,2,22.96,26.515,83,27.9993,26,104,130
2011-11-10 09:00:00,4,0,1,2,17.22,21.21,94,7.0015,23,188,211
2011-10-13 07:00:00,4,0,1,3,22.14,25.76,100,8.9981,5,76,81
2011-10-15 14:00:00,4,0,0,1,24.6,31.06,33,31.0009,242,230,472
2012-12-02 03:00:00,4,0,0,2,10.66,15.15,93,0.0,4,21,25
2012-08-08 08:00:00,3,0,1,2,30.34,36.365,72,6.0032,48,689,737
2012-09-14 19:00:00,3,0,1,1,27.88,31.82,57,11.0014,83,496,579
2012-12-06 10:00:00,4,0,1,1,9.84,11.365,52,12.998,23,122,145
2011-02-06 21:00:00,1,0,0,1,10.66,15.15,60,0.0,5,22,27
2011-04-05 17:00:00,2,0,1,1,17.22,21.21,38,27.9993,27,246,273
2011-06-09 23:00:00,2,0,1,2,30.34,34.85,57,11.0014,15,82,97
2011-02-15 11:00:00,1,0,1,1,10.66,12.12,25,16.9979,11,46,57
2011-05-14 04:00:00,2,0,0,2,20.5,24.24,82,11.0014,1,4,5
2012-07-11 19:00:00,3,0,1,1,30.34,33.335,48,15.0013,73,560,633
2012-02-02 10:00:00,1,0,1,3,17.22,21.21,77,7.0015,6,72,78
2011-11-07 09:00:00,4,0,1,2,13.94,16.665,100,8.9981,18,156,174
2011-12-02 00:00:00,4,0,1,1,10.66,14.395,70,6.0032,6,32,38
2012-04-06 05:00:00,2,0,1,1,13.12,15.15,53,22.0028,0,23,23
2012-04-09 08:00:00,2,0,1,1,18.04,21.97,30,12.998,22,595,617
2012-11-06 22:00:00,4,0,1,2,12.3,14.395,56,15.0013,17,136,153
2011-09-11 02:00:00,3,0,0,2,25.42,29.545,78,12.998,16,60,76
2012-08-07 14:00:00,3,0,1,2,33.62,37.88,46,0.0,76,185,261
2012-07-07 19:00:00,3,0,0,1,37.72,41.665,33,8.9981,68,219,287
2011-10-16 20:00:00,4,0,0,1,22.14,25.76,52,31.0009,49,129,178
2011-02-01 03:00:00,1,0,1,2,6.56,11.365,69,0.0,0,2,2
2012-08-11 04:00:00,3,0,0,1,25.42,28.79,83,7.0015,3,7,10
2012-11-02 09:00:00,4,0,1,1,13.94,17.425,53,7.0015,27,355,382
2011-03-10 08:00:00,1,0,1,3,15.58,19.695,0,19.0012,1,43,44
2012-12-19 12:00:00,4,0,1,1,16.4,20.455,54,19.0012,33,203,236
2012-01-02 17:00:00,1,1,0,1,10.66,11.365,35,26.0027,17,136,153
2011-07-09 00:00:00,3,0,0,2,27.06,30.305,83,8.9981,31,90,121
2012-10-02 20:00:00,4,0,1,3,25.42,27.275,94,8.9981,20,286,306
2012-01-19 22:00:00,1,0,1,2,10.66,11.365,44,27.9993,0,90,90
2011-03-19 03:00:00,1,0,0,2,22.14,25.76,39,22.0028,1,7,8
2012-05-11 18:00:00,2,0,1,1,26.24,30.305,23,19.0012,78,518,596
2012-12-09 02:00:00,4,0,0,2,16.4,20.455,87,7.0015,8,70,78
2011-05-11 22:00:00,2,0,1,1,20.5,24.24,72,16.9979,12,134,146
2012-03-14 22:00:00,1,0,1,1,21.32,25.0,55,8.9981,43,159,202
2011-05-07 11:00:00,2,0,0,1,22.96,26.515,43,0.0,132,215,347
2011-08-17 00:00:00,3,0,1,1,27.06,31.06,69,6.0032,8,16,24
2012-08-16 15:00:00,3,0,1,1,32.8,34.85,33,16.9979,63,197,260
2012-02-19 18:00:00,1,0,0,2,12.3,13.635,49,22.0028,23,144,167
2011-10-16 14:00:00,4,0,0,1,24.6,31.06,40,19.9995,204,258,462
2012-12-16 14:00:00,4,0,0,2,15.58,19.695,76,8.9981,50,260,310
2012-08-07 04:00:00,3,0,1,1,27.88,31.82,83,8.9981,2,7,9
2011-06-02 21:00:00,2,0,1,1,27.06,31.06,31,12.998,33,215,248
2011-05-13 18:00:00,2,0,1,3,21.32,25.0,88,11.0014,39,359,398
2011-12-14 17:00:00,4,0,1,2,14.76,18.18,57,7.0015,19,377,396
2012-09-05 19:00:00,3,0,1,1,30.34,34.85,70,11.0014,64,598,662
2011-08-01 21:00:00,3,0,1,1,28.7,32.575,70,16.9979,42,178,220
2012-03-06 09:00:00,1,0,1,1,9.02,13.635,47,0.0,11,222,233
2011-10-07 09:00:00,4,0,1,1,19.68,23.485,77,0.0,34,207,241
2011-05-01 19:00:00,2,0,0,2,18.86,22.725,84,7.0015,47,131,178
2011-12-16 08:00:00,4,0,1,1,14.76,16.665,46,27.9993,10,449,459
2011-06-07 03:00:00,2,0,1,1,24.6,29.545,73,6.0032,1,1,2
2011-08-08 00:00:00,3,0,1,1,28.7,33.335,79,7.0015,13,17,30
2011-10-01 01:00:00,4,0,0,1,19.68,23.485,67,22.0028,11,47,58
2012-01-10 11:00:00,1,0,1,1,17.22,21.21,38,19.9995,8,93,101
2012-01-16 07:00:00,1,1,0,1,4.1,6.82,54,7.0015,5,28,33
2012-07-08 17:00:00,3,0,0,1,31.98,37.12,59,0.0,68,202,270
2012-03-14 05:00:00,1,0,1,1,18.04,21.97,82,8.9981,2,25,27
2012-07-04 12:00:00,3,1,0,1,35.26,39.395,41,15.0013,164,330,494
2012-08-11 23:00:00,3,0,0,3,27.06,30.305,78,11.0014,42,121,163
2012-08-08 02:00:00,3,0,1,1,28.7,33.335,84,0.0,1,5,6
2012-08-05 12:00:00,3,0,0,1,35.26,40.15,47,35.0008,161,330,491
2012-02-18 16:00:00,1,0,0,1,18.04,21.97,44,22.0028,186,218,404
2011-02-17 14:00:00,1,0,1,1,24.6,31.06,31,15.0013,26,55,81
2012-03-01 19:00:00,1,0,1,1,19.68,23.485,41,22.0028,11,317,328
2012-05-07 04:00:00,2,0,1,2,18.86,22.725,88,8.9981,0,2,2
2011-03-08 04:00:00,1,0,1,1,9.02,13.635,64,0.0,0,2,2
2012-07-19 15:00:00,3,0,1,1,34.44,38.635,47,6.0032,66,226,292
2012-01-09 09:00:00,1,0,1,2,9.02,13.635,64,0.0,9,188,197
2011-08-09 19:00:00,3,0,1,1,32.8,37.12,49,7.0015,69,302,371
2011-06-17 03:00:00,2,0,1,1,22.96,26.515,94,7.0015,1,5,6
2012-05-19 16:00:00,2,0,0,1,30.34,32.575,30,7.0015,331,311,642
2012-12-09 08:00:00,4,0,0,3,16.4,20.455,87,11.0014,1,68,69
2011-07-15 15:00:00,3,0,1,1,29.52,32.575,45,11.0014,74,163,237
2011-04-11 10:00:00,2,0,1,2,22.96,26.515,83,19.9995,41,55,96
2011-11-04 09:00:00,4,0,1,2,17.22,21.21,71,31.0009,15,239,254
2011-12-06 15:00:00,4,0,1,3,20.5,24.24,100,12.998,2,43,45
2012-12-09 15:00:00,4,0,0,3,14.76,17.425,93,11.0014,25,200,225
2011-12-11 19:00:00,4,0,0,1,9.02,11.365,55,12.998,7,98,105
2011-07-06 13:00:00,3,0,1,2,30.34,34.85,70,7.0015,33,107,140
2012-11-01 08:00:00,4,0,1,2,14.76,18.94,56,7.0015,12,668,680
2012-06-14 14:00:00,2,0,1,1,28.7,32.575,54,19.0012,84,214,298
2011-08-18 07:00:00,3,0,1,1,26.24,29.545,78,19.9995,19,289,308
2012-08-03 09:00:00,3,0,1,2,30.34,34.85,66,7.0015,69,327,396
2012-09-07 11:00:00,3,0,1,1,31.16,35.605,62,8.9981,81,215,296
2011-11-05 03:00:00,4,0,0,1,12.3,13.635,52,19.9995,0,8,8
2012-02-16 17:00:00,1,0,1,3,13.94,18.18,87,0.0,8,281,289
2011-08-08 22:00:00,3,0,1,1,31.16,35.605,58,7.0015,26,121,147
2012-08-01 01:00:00,3,0,1,1,27.06,30.305,83,6.0032,5,28,33
2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
2011-07-02 18:00:00,3,0,0,1,33.62,35.605,30,19.0012,193,190,383
2011-10-15 15:00:00,4,0,0,1,25.42,31.06,31,32.9975,166,211,377
2011-08-18 19:00:00,3,0,1,1,27.06,30.305,83,7.0015,26,115,141
2011-03-04 03:00:00,1,0,1,2,7.38,8.335,74,16.9979,0,1,1
2011-01-13 10:00:00,1,0,1,2,6.56,6.82,50,23.9994,2,36,38
2011-11-08 23:00:00,4,0,1,1,14.76,18.94,81,0.0,3,45,48
2012-02-16 21:00:00,1,0,1,2,13.94,17.425,81,7.0015,3,142,145
2011-03-15 20:00:00,1,0,1,2,13.94,15.91,71,19.0012,9,79,88
2011-02-10 02:00:00,1,0,1,3,5.74,7.575,80,8.9981,0,3,3
2012-04-18 22:00:00,2,0,1,2,17.22,21.21,77,6.0032,9,153,162
2011-05-03 22:00:00,2,0,1,2,23.78,27.275,60,26.0027,14,99,113
2012-04-15 16:00:00,2,0,0,1,29.52,32.575,39,23.9994,286,330,616
2011-02-04 16:00:00,1,0,1,2,12.3,14.395,42,15.0013,8,91,99
2011-07-12 23:00:00,3,0,1,1,31.98,35.605,52,0.0,20,59,79
